name	label	sub_class	dynamic_state	cyclic_uid	age	world_width	world_height	lat_dist	long_dist	vert_dist	rel_vel_x	rel_acc_x	rel_vel_z	rel_acc_z	abs_vel_x	abs_acc_x	abs_vel_z	abs_acc_z	POS_LEFT_x	POS_LEFT_z	POS_CENTER_x	POS_CENTER_z	POS_RIGHT_x	POS_RIGHT_z	POS_DISTANT_x	POS_DISTANT_z	lane_association	conf	is_cipv	uid	eba_bitmask	vacc_quality	x_center	y_center	d3_separation	width	height	sf_confirmed	class_right_id	class_left_id	score	is_occluded	x_l	y_lt	y_lb	x_s	y_st	y_sb	x_r	y_rt	y_rb	matching_radar_cluster_top_left_x	matching_radar_cluster_top_left_z	matching_radar_cluster_width	matching_radar_cluster_height	matching_radar_cluster_is_static	matching_radar_cluster_center_x	matching_radar_cluster_center_z	update_type	reaction_profile	tracked_vel_x	tracked_vel_z	rc_raw_meas_x	rc_raw_meas_z	rc_tracked_pos_x	rc_tracked_pos_z	rc_tracked_vel_x	rc_tracked_vel_z	rc_tracked_acc_x	rc_tracked_acc_z	fd_raw_meas_x	fd_raw_meas_z	fd_tracked_pos_x	fd_tracked_pos_z	fd_tracked_vel_x	fd_tracked_vel_z	fd_tracked_acc_x	fd_tracked_acc_z	rc_weight_pos	rc_weight_kinematics	of_ittc_z	of_rel_vel_z	width_est	orientation	sf_orientation	cametra_origin	debug_field_0	debug_field_1	debug_field_2	
1687017796599892	2	1	5	0	7	1.79	1.55	-45.96	74.07	-1.21	4.03	-0.00	3.42	-0.19	-2.19	-0.00	7.35	-0.03	-48.50	74.40	-46.74	74.10	-46.01	78.31	-47.77	78.62	0	0.000000	0	2	0x18C0	0	679.36	1005.36	657.22	128.54	41.86	1	1	0	71.918640	0	615.089600	984.326233	1026.009766	657.221313	984.434875	1026.290283	743.631348	983.011353	1022.612549	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	-2.19	-0.43	-23.58	38.00	-23.58	38.00	-2.19	-0.43	-0.00	-0.19	-38.19	61.56	-45.90	74.07	-2.19	-0.43	-0.00	-0.19	0.000000	0.000000	0.000000	0.000000	1	-2.905703	-0.225761	0	0.000000	0.000000	0.000000	
1687017796699834	2	1	2	0	8	1.79	1.55	-42.91	69.97	-1.06	11.05	-0.00	-12.11	-0.19	4.82	-0.00	-8.16	-0.03	-45.45	70.33	-43.69	70.01	-42.92	74.22	-44.68	74.54	0	0.000000	0	2	0x18C1	0	694.24	1004.11	670.72	135.58	44.30	1	1	0	68.993271	0	626.447998	981.849854	1025.947632	670.721802	981.959351	1026.259521	762.029419	980.600037	1022.386780	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	0	4.82	-15.93	-22.19	36.19	-22.19	36.19	4.82	-15.93	-0.00	-0.19	-34.03	55.49	-43.01	69.97	4.82	-15.93	-0.00	-0.19	0.000000	0.000000	0.000000	0.000000	1	-2.896820	-0.146394	0	0.000000	0.000000	0.000000	
1687017796800262	2	1	2	0	9	1.79	1.55	-41.95	68.74	-0.76	10.63	-0.00	-12.35	-0.09	4.68	-0.00	-8.19	-0.03	-44.49	69.12	-42.73	68.78	-41.92	72.99	-43.68	73.32	0	0.000000	0	2	0x18C1	0	700.73	996.10	676.38	138.12	45.09	1	1	0	71.062828	0	631.665039	973.480896	1018.349854	676.382690	973.556641	1018.645264	769.787598	972.660583	1015.152161	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	4.68	-15.98	-26.61	43.61	-26.61	43.61	4.68	-15.98	-0.00	-0.09	-43.52	71.32	-41.94	68.74	4.68	-15.98	-0.00	-0.09	0.000000	0.000000	0.000000	0.000000	1	-2.888139	-0.208841	0	0.000000	0.000000	0.000000	
1687017796899857	2	1	2	0	10	1.79	1.55	-40.75	67.46	-0.68	10.09	-0.01	-12.71	-0.06	4.59	-0.01	-8.22	-0.03	-43.28	67.86	-41.53	67.51	-40.69	71.71	-42.44	72.06	0	0.000000	0	2	0x18C1	0	713.49	994.39	688.53	140.46	45.94	1	1	0	63.951092	0	643.260864	971.351501	1017.053040	688.528564	971.420959	1017.359985	783.723145	970.635315	1013.885437	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	4.59	-16.03	-26.72	44.25	-26.72	44.25	4.59	-16.03	-0.01	-0.06	-45.23	74.89	-40.89	67.46	4.59	-16.03	-0.01	-0.06	0.000000	0.000000	0.000000	0.000000	1	-2.880035	0.030073	0	0.000000	0.000000	0.000000	
1687017797000112	2	1	2	0	11	1.35	1.33	-41.37	69.41	-0.43	8.65	-0.01	-12.56	-0.03	3.66	-0.01	-7.70	-0.03	-43.36	69.70	-42.04	69.41	-41.35	72.56	-42.67	72.85	0	0.000000	0	2	0x18C1	0	726.77	989.48	707.35	104.39	38.21	1	1	0	79.755676	0	674.574951	970.324158	1008.372925	707.352173	970.375671	1008.583252	778.968018	969.837585	1006.383484	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	1	3.66	-15.53	-31.27	52.47	-31.27	52.47	3.66	-15.53	-0.01	-0.03	-50.89	85.40	-41.37	69.41	3.66	-15.53	-0.01	-0.03	0.000000	0.000000	0.000000	0.000000	1	-2.925470	0.081255	0	0.000000	0.000000	0.000000	
1687017797100138	2	1	2	0	12	1.78	1.72	-40.49	67.29	-0.72	7.95	-0.01	-12.96	-0.03	3.35	-0.01	-7.90	-0.03	-43.14	67.64	-41.40	67.29	-40.54	71.46	-42.29	71.82	0	0.000000	0	2	0x18C1	0	713.57	993.11	688.30	140.65	51.11	1	1	0	78.760468	0	643.246704	967.502869	1018.341187	688.301636	967.553345	1018.661743	783.895752	966.995117	1015.117126	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	1	3.35	-15.73	-26.36	43.75	-26.36	43.75	3.35	-15.73	-0.01	-0.03	-39.31	65.24	-40.49	67.29	3.35	-15.73	-0.01	-0.03	0.000000	0.000000	0.000000	0.000000	1	-2.939782	0.132578	0	0.000000	0.000000	0.000000	
1687017797200145	2	1	2	0	13	1.79	1.67	-40.35	67.07	-0.69	7.37	-0.01	-12.74	-0.03	2.72	-0.01	-7.71	-0.03	-42.80	67.33	-41.02	67.08	-40.43	71.32	-42.20	71.57	0	0.000000	0	2	0x18C1	0	716.14	993.35	695.54	137.27	49.71	1	1	0	74.242172	0	647.507568	968.454468	1017.976013	695.536377	968.493225	1018.198608	784.778809	967.869202	1014.618652	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	2.72	-15.53	-26.97	44.84	-26.97	44.84	2.72	-15.53	-0.01	-0.03	-43.09	71.63	-40.35	67.07	2.72	-15.53	-0.01	-0.03	0.000000	0.000000	0.000000	0.000000	1	-2.933246	0.555126	0	0.000000	0.000000	0.000000	
1687017797300286	2	1	2	0	14	1.83	1.61	-39.41	65.76	-0.48	7.27	-0.01	-12.93	0.00	2.89	-0.01	-7.74	-0.03	-42.10	66.17	-40.31	65.76	-39.34	70.02	-41.12	70.43	0	0.000000	0	2	0x1881	0	720.61	988.42	692.59	148.55	48.91	1	1	0	76.100609	0	646.331543	963.928650	1012.537964	692.591309	963.965515	1012.876526	794.886475	963.602173	1009.534851	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	1	2.89	-15.55	-28.97	48.36	-28.97	48.36	2.89	-15.55	-0.01	0.00	-39.16	65.36	-39.41	65.76	2.89	-15.55	-0.01	0.00	0.000000	0.000000	0.000000	0.000000	1	-2.916698	0.262478	0	0.000000	0.000000	0.000000	
1687017797400102	2	1	2	0	15	1.79	1.60	-37.85	64.31	-0.22	6.97	-0.01	-13.21	0.06	2.91	-0.01	-7.78	-0.03	-40.57	64.79	-38.85	64.32	-37.71	68.44	-39.44	68.92	0	0.000000	0	2	0x1881	0	741.40	981.09	710.66	150.12	49.71	1	1	0	64.534348	0	666.339111	956.245239	1005.589478	710.656128	956.232300	1005.941284	816.459106	956.338867	1003.051086	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	2	1	2.91	-15.60	-35.08	59.61	-35.08	59.61	2.91	-15.60	-0.01	0.06	-43.10	73.23	-38.60	64.31	2.91	-15.60	-0.01	0.06	0.000000	0.000000	0.000000	0.000000	1	-2.910714	-1.059006	0	0.000000	0.000000	0.000000	
1687017797500015	2	1	2	0	16	1.68	1.62	-36.75	61.75	-0.23	7.55	-0.01	-13.77	0.06	3.94	-0.01	-8.10	-0.03	-39.13	62.06	-37.47	61.75	-36.74	65.71	-38.39	66.01	0	0.000000	0	2	0x1881	0	729.01	982.21	704.99	142.45	52.42	1	1	0	80.131462	0	657.790405	956.008667	1008.171021	704.985962	955.998718	1008.421326	800.236206	956.119141	1005.386597	-1.00	-1.00	-1.00	-1.00	0	0.00	0.00	1	1	3.94	-15.92	-31.31	52.64	-31.31	52.64	3.94	-15.92	-0.01	0.06	-34.32	57.71	-36.75	61.75	3.94	-15.92	-0.01	0.06	0.000000	0.000000	0.000000	0.000000	1	-2.957516	-0.019137	0	0.000000	0.000000	0.000000	
